Dataset,SAX.SEQL,SFglmnet,SAX.SEQLGBM,SAX.SFSEQLGBM,SAX.SFSEQL,type,mtSS.SEQL.LR,mtSFA.SEQL.LR,mtSAX.SEQL.LR,mtSS.SEQL,mtSAX.SEQL,mtSFA.SEQL,SAX.REG.SEQL,SFA.REG.SEQL,Encoder,MCNN,t.LeNet,MCDCNN,Time.CNN,TWIESN,SAXVSM,FS,HIVE.COTE,MLP,FCN,ResNet,WEASEL,DTW_CV,DTW,BOSS,LearningShapelet,TSBF,ST,EE_PROP,Flat.COTE
DistalPhalanxTW,0.38848920863309355,0.3381295,0.3237410071942446,0.3453237410071942,0.4316546762589928,IMAGE,0.20800000000000002,0.20800000000000002,0.20800000000000002,0.198,0.198,0.205,0.252,0.258,0.312,0.698,0.7170000000000001,0.32299999999999995,0.327,0.391,0.396,0.374,0.317,0.253,0.21,0.26,0.324,0.36700000000000005,0.41,0.295,0.374,0.324,0.33799999999999997,0.353,0.302
Meat,0.2666666666666667,0.1,0.2833333333333333,0.08333333333333337,0.18333333333333335,SPECTRO,0.067,0.067,0.083,0.067,0.05,0.083,0.067,0.033,0.258,0.667,0.667,0.295,0.098,0.032,0.1,0.16699999999999998,0.067,0.067,0.033,0.0,0.083,0.067,0.067,0.1,0.267,0.067,0.15,0.067,0.083
SyntheticControl,0.3533333333333334,0.1066667,0.5,0.09999999999999998,0.07333333333333336,SIMULATED,0.02,0.023,0.043,0.023,0.047,0.02,0.34299999999999997,0.237,0.004,0.7020000000000001,0.833,0.017,0.01,0.126,0.11,0.09,0.003,0.05,0.01,0.0,0.006999999999999999,0.017,0.006999999999999999,0.033,0.006999999999999999,0.006999999999999999,0.017,0.0,0.0
GunPoint,0.04,0.2866667,0.07333333333333329,0.04666666666666672,0.02,MOTION,0.0,0.0,0.013000000000000001,0.0,0.02,0.0,0.013000000000000001,0.006999999999999999,0.064,0.48700000000000004,0.507,0.133,0.068,0.039,0.013000000000000001,0.053,0.0,0.067,0.0,0.006999999999999999,0.0,0.087,0.09300000000000001,0.0,0.0,0.013000000000000001,0.0,0.006999999999999999,0.0
ToeSegmentation2,0.11538461538461534,0.4461538,0.10769230769230774,0.16923076923076918,0.21538461538461534,MOTION,0.085,0.054000000000000006,0.092,0.092,0.092,0.077,0.154,0.154,0.205,0.368,0.185,0.557,0.262,0.158,0.138,0.308,0.046,0.254,0.085,0.138,0.092,0.092,0.162,0.038,0.085,0.2,0.092,0.10800000000000001,0.085
SonyAIBORobotSurface1,0.43094841930116473,0.1747088,0.43094841930116473,0.21797004991680538,0.194675540765391,SENSOR,0.136,0.213,0.113,0.225,0.2,0.295,0.369,0.225,0.257,0.557,0.5710000000000001,0.34700000000000003,0.313,0.36200000000000004,0.18600000000000003,0.314,0.235,0.273,0.032,0.015,0.17600000000000002,0.304,0.275,0.368,0.10300000000000001,0.205,0.156,0.29600000000000004,0.155
OliveOil,0.30000000000000004,0.2666667,0.23333333333333328,0.30000000000000004,0.30000000000000004,SPECTRO,0.1,0.1,0.133,0.133,0.133,0.133,0.3,0.16699999999999998,0.6,0.62,0.62,0.6,0.6,0.21,0.1,0.267,0.1,0.6,0.16699999999999998,0.133,0.067,0.133,0.16699999999999998,0.133,0.56,0.16699999999999998,0.1,0.133,0.1
Trace,0.0,0,0.0,0.010000000000000009,0.010000000000000009,SENSOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.6459999999999999,0.76,0.13699999999999998,0.05,0.040999999999999995,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.02,0.0,0.01,0.0
CinCECGtorso,0.39420289855072466,0.1471014,0.4536231884057971,0.20797101449275357,0.24420289855072463,ECG,0.134,0.172,0.151,0.2,0.259,0.235,0.322,0.3,0.08900000000000001,0.619,0.75,0.264,0.255,0.7,0.23,0.141,0.004,0.158,0.187,0.22899999999999998,0.006999999999999999,0.07,0.349,0.113,0.16699999999999998,0.28800000000000003,0.046,0.057999999999999996,0.005
OSULeaf,0.1776859504132231,0.4834711,0.42148760330578516,0.15702479338842978,0.16942148760330578,IMAGE,0.040999999999999995,0.083,0.062,0.136,0.149,0.21899999999999997,0.18600000000000003,0.19399999999999998,0.424,0.757,0.818,0.622,0.5379999999999999,0.405,0.149,0.322,0.021,0.43,0.012,0.021,0.10300000000000001,0.38799999999999996,0.409,0.045,0.182,0.24,0.033,0.19399999999999998,0.033
Lightning2,0.34426229508196726,0.2131148,0.3278688524590164,0.22950819672131145,0.27868852459016397,SENSOR,0.262,0.24600000000000002,0.295,0.27899999999999997,0.32799999999999996,0.24600000000000002,0.295,0.311,0.308,0.44299999999999995,0.45899999999999996,0.37,0.364,0.297,0.14800000000000002,0.295,0.18,0.27899999999999997,0.19699999999999998,0.24600000000000002,0.44299999999999995,0.131,0.131,0.16399999999999998,0.177,0.262,0.262,0.115,0.131
Wafer,0.004055807916937084,0.06310837,0.026443867618429522,0.004704737183647012,0.006164828033744385,SENSOR,0.002,0.002,0.003,0.006999999999999999,0.011000000000000001,0.005,0.006999999999999999,0.01,0.004,0.087,0.10800000000000001,0.008,0.039,0.086,0.001,0.003,0.001,0.004,0.003,0.003,0.0,0.005,0.02,0.005,0.004,0.005,0.0,0.003,0.0
Lightning7,0.547945205479452,0.4383562,0.5616438356164384,0.3561643835616438,0.34246575342465757,SENSOR,0.233,0.205,0.205,0.301,0.315,0.28800000000000003,0.41100000000000003,0.342,0.375,0.69,0.74,0.466,0.349,0.336,0.425,0.35600000000000004,0.26,0.35600000000000004,0.13699999999999998,0.16399999999999998,0.28800000000000003,0.28800000000000003,0.27399999999999997,0.315,0.19699999999999998,0.27399999999999997,0.27399999999999997,0.233,0.192
ArrowHead,0.3314285714285714,0.4457143,0.4,0.34857142857142853,0.37142857142857144,IMAGE,0.177,0.149,0.24,0.183,0.24,0.154,0.36,0.177,0.196,0.6609999999999999,0.6970000000000001,0.315,0.27699999999999997,0.341,0.21100000000000002,0.406,0.13699999999999998,0.177,0.12,0.183,0.14300000000000002,0.2,0.337,0.166,0.154,0.24600000000000002,0.263,0.18899999999999997,0.18899999999999997
NonInvasiveFatalECGThorax1,0.2244274809160305,0.3007634,0.4447837150127226,0.16234096692111954,0.19999999999999996,ECG,0.063,0.063,0.073,0.109,0.12300000000000001,0.11599999999999999,0.20800000000000002,0.254,0.084,0.8390000000000001,0.971,0.095,0.135,0.506,0.47700000000000004,0.29,0.07,0.057999999999999996,0.039,0.052000000000000005,0.071,0.18899999999999997,0.21,0.162,0.131,0.158,0.05,0.154,0.069
